country,Confirmed,Deaths,Recovered,Active,Incident_Rate,Mortality Rate (per 100)
Cameroon,2579,114,1465,1000,9.71526110432872,4.42
Central African Republic,143,0,10,133,2.9608071947200734,0.0
Chad,322,31,53,238,1.9603236579590757,9.63
Chile,28866,312,13112,15442,151.0027432740456,1.08
Colombia,11063,463,2705,7895,21.742085216710596,4.19
Comoros,11,1,0,10,1.2649566752338732,9.09
Republic of the Congo,274,10,33,231,4.965484446435472,3.65
Democratic Republic of the Congo,991,41,136,814,1.1065034219427825,4.14
Costa Rica,792,7,501,284,15.547355241755486,0.88
Côte d'Ivoire,1700,21,794,885,6.444697388286383,1.24
Croatia,2196,91,1784,321,53.49224459889097,4.14
Cuba,1766,77,1193,496,15.591594170756734,4.36
Cyprus,898,16,401,481,74.37709185570844,1.78
Czechia,8123,280,4482,3361,75.85221452421902,3.45
Diamond Princess,712,13,651,48,0.0,1.83
Djibouti,1210,3,847,360,122.46938771379006,0.25
Dominica,16,0,15,1,22.22500034726563,0.0
Dominican Republic,10347,388,2763,7196,95.38248126089613,3.75
Ecuador,29559,2127,3433,23999,167.53896432931703,7.2
Egypt,9400,525,2075,6800,9.185571737785972,5.59
El Salvador,958,17,325,616,14.769816723225198,1.77
Equatorial Guinea,439,4,13,422,31.29042719629932,0.91
